Nombre,Tipo Fitness,Categoría Google,País,Ciudad,Zona Premium,Dirección,Teléfono,Sitio Web,Email,Rating,Nº Reseñas,Tamaño Estimado,Prioridad,Score Nexora (0-10),Tiene Web,Tiene Teléfono,Campaña,Mes Scraping,Google Maps URL
Síclo Roma,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Guadalajara 36, Cuauhtémoc, Ciudad de México, Cd. de México",+52 55 4398 3408,http://siclo.com/,,4.5,278,Grande (cadena),MEDIA,9.3,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=S%C3%ADclo%20Roma&query_place_id=ChIJA1_lqEj_0YURgoXtVzp0z8Q
Bodytech Santa María de los Ángeles - Vegas,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cra. 46 # 16 Sur–67, Medellín, El Poblado, Medellín, Antioquia",+57 1 800 0182639,https://bodytech.com.co/sedes/santa-maria-de-los-angeles,,4.5,214,Grande (cadena),MEDIA,9.3,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Bodytech%20Santa%20Mar%C3%ADa%20de%20los%20%C3%81ngeles%20-%20Vegas&query_place_id=ChIJI9_8N2GCRo4RV4PuPAbG7Rs
Action Black La 33,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 32F #66b-22, Medellín, Belén, Medellín, Antioquia",+57 317 3683535,https://www.actionblack.co/,,4.5,196,Mediano,MEDIA,9.3,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Action%20Black%20La%2033&query_place_id=ChIJv20XAf8pRI4R2nH8pikMd6Y
Zoom Fitness Center ( Sede Nueva Córdoba),Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"Paraná 561, Córdoba, Córdoba",+54 351 764-8484,https://www.zoomfitnesscenter.com/,,4.5,144,Mediano,MEDIA,9.3,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Zoom%20Fitness%20Center%20(%20Sede%20Nueva%20C%C3%B3rdoba)&query_place_id=ChIJERMCmbCjMpQRSje4IeDwa9E
Sersana Method,Otro,Centro de salud y bienestar,México,Ciudad de México,Polanco,"Av. Ferrocarril de Cuernavaca. 416 sótano (esquina, LT Esopo, Miguel Hidalgo, Ciudad de México, CDMX",+52 55 7090 0674,http://www.sersana.com/,,4.5,115,Mediano,MEDIA,9.3,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Sersana%20Method&query_place_id=ChIJu1Bdkx4C0oURN1LogwpFG4M
Look Sport CrossFit Polanco,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Av. Homero 406, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 56 2811 6199,https://looksportcrossfitpolanco.com/,,4.5,79,Mediano,MEDIA,9.3,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Look%20Sport%20CrossFit%20Polanco&query_place_id=ChIJFxAaE1gD0oURVsO3En0bE6w
Gimnasio Profitness,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 45 #98 71 Piso 2, Medellín, San Javier, Medellín, Antioquia",+57 319 4765000,https://bio.link/profitness,,4.5,71,Mediano,MEDIA,9.3,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Profitness&query_place_id=ChIJmQ7QXXwpRI4RS0U1sL6gDbw
The Fit Pilates Lomas,Pilates,Centro de pilates,México,Ciudad de México,Polanco,"Monte Athos 385, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 1857 6328,https://fitpilates.mx/,,4.5,55,Mediano,MEDIA,9.3,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=The%20Fit%20Pilates%20Lomas&query_place_id=ChIJMdoDTFYB0oUROOmNwdEhNpQ
Pilatestar,Pilates,Centro de pilates,Argentina,Buenos Aires,Palermo,"Av. Federico Lacroze 1820, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 6594-4007,,,4.5,11,Pequeño,ALTA,9.3,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Pilatestar&query_place_id=ChIJC9EVBMi1vJURdirj0gzyJwU
SportClub Palermo,Gimnasio,Gimnasio,Argentina,Buenos Aires,Palermo,"José A. Cabrera 4848, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 6484-0162,,,3.8,716,Grande (cadena),ALTA,9.2,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=SportClub%20Palermo&query_place_id=ChIJO7YyJYi1vJURvu47Ya_vTV0
Gimnasio Vivo Universidad EAFIT,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"# a 7 77,, Cra. 48, Medellín, El Poblado, Medellín, Antioquia",+57 311 3518357,http://www.eafit.edu.co/servicios/vivo/Paginas/inicio.aspx,,4.8,39,Pequeño-mediano,MEDIA,9.2,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Vivo%20Universidad%20EAFIT&query_place_id=ChIJw4Q78nyCRo4RJHYeran0Px8
URBAN GYM ENVIGADO,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Dg. 29 #12 34f, Envigado, Antioquia",+57 302 5870177,https://www.facebook.com/Urban-Gym-Envigado-768752033296845/,,4.8,36,Pequeño-mediano,MEDIA,9.2,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=URBAN%20GYM%20ENVIGADO&query_place_id=ChIJsVviSFSCRo4RG2gogtGBA40
Indrayani Yoga Medellin - Masajes - Massages - Estadio,Yoga,Centro de yoga,Colombia,Medellín,Laureles,"Cl. 48B #77 - 68, Medellín, Laureles, Medellín, Antioquia",+57 311 7379056,https://www.indrayani.yoga/,,4.8,34,Pequeño-mediano,MEDIA,9.2,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Indrayani%20Yoga%20Medellin%20-%20Masajes%20-%20Massages%20-%20Estadio&query_place_id=ChIJI0cUmKMpRI4R9DwHvlGfSYI
Osteópata Leandro Hisas - Respira Yoga,Yoga,Centro de yoga,Argentina,Buenos Aires,Palermo,"Uriarte 1241, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 5658-5493,https://www.instagram.com/osteopatia_leandrohisas,,4.8,29,Pequeño-mediano,MEDIA,9.2,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Oste%C3%B3pata%20Leandro%20Hisas%20-%20Respira%20Yoga&query_place_id=ChIJGYlElYm1vJURDyUs8QS-TLM
PowerClub wake | pwr:club wake,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"wake Cra. 35 #10b-66 PISO 2, Medellín, El Poblado, Medellín, Antioquia",+57 323 5726764,http://www.powerclub.com.co/,,4.8,27,Pequeño-mediano,MEDIA,9.2,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=PowerClub%20wake%20%7C%20pwr%3Aclub%20wake&query_place_id=ChIJq_dadigoRI4RCXjOMqBAWMM
Espacio Interior ~ Punto Yoga y Compañía ~ Nueva Córdoba,Yoga,Centro de yoga,Argentina,Córdoba,Nueva Córdoba,"Pje. Valtodano 1351, X5000IYG, Córdoba",+54 9 351 549-8012,https://www.instagram.com/espacio.interior.cordoba,,4.8,27,Pequeño-mediano,MEDIA,9.2,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Espacio%20Interior%20~%20Punto%20Yoga%20y%20Compa%C3%B1%C3%ADa%20~%20Nueva%20C%C3%B3rdoba&query_place_id=ChIJDZAC9IaiMpQRn-uze5XVZQ0
Sport City Toreo,Gimnasio,Centro deportivo,México,Ciudad de México,Polanco,"Perif. Blvd. Manuel Ávila Camacho 5-Local 1, Naucalpan de Juárez, Estado de México",+52 55 5557 0264,https://portcity.com.mx/clubes/toreo,,4.4,767,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Sport%20City%20Toreo&query_place_id=ChIJOe_ZG0cC0oUROKZf_F85Q24
Bodytech San Juan,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cra. 84 # 44-54, Medellín, La América, Medellín, Antioquia",+57 1 800 0182639,https://bodytech.com.co/sedes/san-juan,,4.4,764,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Bodytech%20San%20Juan&query_place_id=ChIJE35fbHYpRI4RWF2fDH5WhYs
EL PALACIO DEL GATO GYM,Otro,Tienda de productos para mascotas,Colombia,Bogotá,Chapinero,"Carrera 10 ## 21-11 CRA 10 #21-15 Centro, Bogotá, Cundinamarca",+57 321 4633533,https://www.instagram.com/elpalaciodelgatogimnasios?r=nametag,,4.4,705,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=EL%20PALACIO%20DEL%20GATO%20GYM&query_place_id=ChIJRz8QQ1-ZP44RDzRfKpgLWDI
Athletic gym Manila,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cra. 43F #12-49, Medellín, El Poblado, Medellín, Antioquia",+57 312 3282828,https://athleticgym.com.co/sedes/manila,,4.4,626,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Athletic%20gym%20Manila&query_place_id=ChIJ13M-xA0pRI4R-6xEvSXxRD8
Bodytech - Robledo,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Av. 80 #64-61, Medellín, Robledo, Medellín, Antioquia",+57 1 800 0182639,https://bodytech.com.co/sedes/robledo,,4.4,603,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Bodytech%20-%20Robledo&query_place_id=ChIJWcaL7z4pRI4RpDxzal0mXmg
Bodytech Laureles,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Av. 33 #74B - 127, Medellín, Belén, Medellín, Antioquia",+57 1 800 0182639,https://bodytech.com.co/sedes/laureles,,4.4,586,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Bodytech%20Laureles&query_place_id=ChIJXUzrQropRI4RImpGHHbzBZw
La Chagra,Otro,Restaurante,Colombia,Medellín,El Poblado,"Cra 33 #7a24, Medellín, El Poblado, Medellín, Antioquia",+57 304 4312300,https://linktr.ee/la_chagra,,4.4,583,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=La%20Chagra&query_place_id=ChIJOSUQmYKCRo4RvjKiFbhiRvY
BODYTECH - Avenida Colombia,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"C. 50 #66 - 50, Medellín, Laureles, Medellín, Antioquia",+57 1 800 0182639,https://bodytech.com.co/sedes/avenida-colombia/,,4.4,423,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=BODYTECH%20-%20Avenida%20Colombia&query_place_id=ChIJwTaO-QQpRI4RLL33EFjnb5o
SportClub Estrada 24 hs.,Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"José Manuel Estrada 136, Córdoba, Córdoba",+54 351 857-3333,https://www.sportclub.com.ar/,,4.4,280,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=SportClub%20Estrada%2024%20hs.&query_place_id=ChIJUdOFkGujMpQRhpdi_qvAoks
Master Gym,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Cam. Real a Toluca 506, Álvaro Obregón, Ciudad de México, Cd. de México",+52 55 5516 0867,https://m.facebook.com/MasterGym506/?ref=bookmarks,,4.4,219,Grande (cadena),MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Master%20Gym&query_place_id=ChIJIbzgKc4B0oURVn--crCdnmc
Gimnasio Activos,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"28, Cra 85B #77 D, Medellín, Robledo, Medellín, Antioquia",+57 44746250,https://activosgym.com/,,4.4,129,Mediano,MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Activos&query_place_id=ChIJI63gBjEpRI4R0v3y9LDuGUk
Muzqlar Gimnasio,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Av. Ciudad de Lima # 6 - 39 piso 4, Bogotá, Cundinamarca",+57 300 6157962,https://muzqlargym.com/,,4.4,100,Mediano,MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Muzqlar%20Gimnasio&query_place_id=ChIJU-oYmQKZP44RyBN6VmVpWcY
Alpha Wolf - Crossfit & Functional,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Sadi Carnot 123, Cuauhtémoc, Cd. de México",+52 55 4127 0286,https://www.instagram.com/invites/contact/?i=1i7ynnup56jjk&utm_content=5asoml8,,4.4,57,Mediano,MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Alpha%20Wolf%20-%20Crossfit%20%26%20Functional&query_place_id=ChIJm6z70Kb50YUR6IDYLD8Hnys
Club Rotario Envigado,Otro,Organización de servicios sociales,Colombia,Envigado,Envigado,"Cl. 37 Sur #28c - 78, Envigado, Antioquia",+57 42701257,http://www.clubrotarioenvigado.com/,,4.7,34,Pequeño-mediano,MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Club%20Rotario%20Envigado&query_place_id=ChIJCx_GikyCRo4RpO2Th_1_7Dw
Lomas Hot Yoga,Yoga,Centro de yoga,México,Ciudad de México,Polanco,"Monte Athos 155, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 5259 4095,http://www.lomashotyoga.com/,,4.7,33,Pequeño-mediano,MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Lomas%20Hot%20Yoga&query_place_id=ChIJm-VpEiMB0oUR3D1r5QiG-iQ
Dukbox,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Ak 7 #48a-82, Bogotá, Bogotá",+57 318 5676840,http://www.dukbox.co/,,4.7,30,Pequeño-mediano,MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Dukbox&query_place_id=ChIJyf95NyWaP44R5_R_Cjl83M0
Palacio del glúteo - Estudio Fitness,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 34 #66a 24, Medellín, Laureles, Medellín, Antioquia",+57 320 7303944,https://instagram.com/palacio_fitness?utm_medium=copy_link,,4.7,27,Pequeño-mediano,MEDIA,9.1,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Palacio%20del%20gl%C3%BAteo%20-%20Estudio%20Fitness&query_place_id=ChIJPxNncGQpRI4RZFH-ki-TdI4
Clubes Okayama Karate - Do,Otro,Escuela de kárate,México,Ciudad de México,Polanco,"Av. Fuente de Los Leones 47, Naucalpan de Juárez, Estado de México",+52 55 5294 3312,,,4.4,19,Pequeño-mediano,ALTA,9.1,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Clubes%20Okayama%20Karate%20-%20Do&query_place_id=ChIJ871zFH4B0oURyW1Z8dY5d1s
Wild Box,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cra. 86 #45b 15, Medellín, La América, Medellín, Antioquia",+57 324 2468968,,,4.7,6,Pequeño,ALTA,9.1,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Wild%20Box&query_place_id=ChIJwfGAfWYpRI4R2FDHLGmyC34
balanced core pilates,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"carrera 32 numero 1 sur 13 interior, Cra. 32 #200, Medellín, Laureles, Medellín, Antioquia",+57 44449941,,,4.7,6,Pequeño,ALTA,9.1,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=balanced%20core%20pilates&query_place_id=ChIJaXCNjKEpRI4RNMP2kttYux8
stronginhouse,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Carrera 9#60, Bogotá, Bogotá",+57 314 3568043,,,4.7,3,Pequeño,ALTA,9.1,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=stronginhouse&query_place_id=ChIJ2-WUTkibP44R4mHR6ZK7g7k
Bodytech Camino Real,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Av. Oriental, Cra. 46 # 52 - 95 Local 401, Medellín, La Candelaria, Medellín, Antioquia",+57 1 800 0182639,https://bodytech.com.co/sedes/camino-real/,,4.3,558,Grande (cadena),MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Bodytech%20Camino%20Real&query_place_id=ChIJ6RwiRI4pRI4RX29kqPdpiJE
Comfama Envigado,Otro,Centro comunitario,Colombia,Envigado,Envigado,"Cl. 35 Sur #41-51, Envigado, Antioquia",+57 604 3607080,https://www.comfama.com/?utm_source=fichagoogle&utm_medium=organic&utm_campaign=proyecto-sedes-seolocalgoogle-VA011,,4.3,490,Grande (cadena),MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Comfama%20Envigado&query_place_id=ChIJLYVaAFKCRo4Ryu2LLaEh6Ok
TULUKA Fitness Club,Gimnasio,Gimnasio,Argentina,Buenos Aires,Palermo,"Honduras 5962, BNL, Cdad. Autónoma de Buenos Aires",+54 11 4772-3714,http://www.tulukafitness.com/,,4.3,383,Grande (cadena),MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=TULUKA%20Fitness%20Club&query_place_id=ChIJ0Z5gLZO1vJURhsRoOo-2iYQ
BRISKBOX [Fructuoso],Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"Fructuoso Rivera 69, Córdoba, Córdoba",+54 351 544-8669,https://www.briskbox.fit/,,4.3,291,Grande (cadena),MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=BRISKBOX%20%5BFructuoso%5D&query_place_id=ChIJa7XDWtqjMpQRtsCeSw6TfyQ
RockCycle Palermo,Gimnasio,Gimnasio,Argentina,Buenos Aires,Palermo,"Humboldt 1550, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 4843-1854,http://www.rockcycle.com.ar/,,4.3,268,Grande (cadena),MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=RockCycle%20Palermo&query_place_id=ChIJF_OJyI21vJURDnZi1at8ZKA
MANANTIAL – ꜰɪᴛɴᴇss ᴄᴇɴᴛᴇʀ [Chacabuco],Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"Blvr. Chacabuco 1068, Córdoba, Córdoba",+54 351 856-3333,https://fitnessgroup.com.ar/,,4.3,155,Mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=MANANTIAL%20%E2%80%93%20%EA%9C%B0%C9%AA%E1%B4%9B%C9%B4%E1%B4%87ss%20%E1%B4%84%E1%B4%87%C9%B4%E1%B4%9B%E1%B4%87%CA%80%20%5BChacabuco%5D&query_place_id=ChIJ0fraKxejMpQRHgAr1N3qBek
Acuatic,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Av. Homero 1616, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 5280 6047,https://acuatic.mx/,,4.3,147,Mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Acuatic&query_place_id=ChIJyTv_RRkC0oURgUCQ8ix-x2g
Greenfit y Mundo 20,Otro,Tienda de ropa,Colombia,Medellín,Laureles,"Calle 47 # 52 a 23 Frente al Centro Comercial Megacentro, Medellín, La Candelaria, Medellín, Antioquia",+57 320 7196076,https://greenfit.com.co/,,4.3,113,Mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Greenfit%20y%20Mundo%2020&query_place_id=ChIJFeLi3weDRo4RdcyfvdGDBOg
Escuela de Natación ATLANTIC CENTER,Otro,Piscina,Colombia,Bogotá,Chapinero,"Cra, 16 #30-63, Bogotá, Bogotá",+57 311 2311864,http://www.atlanticcenter.co/,,4.3,112,Mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Escuela%20de%20Nataci%C3%B3n%20ATLANTIC%20CENTER&query_place_id=ChIJpZ81uTWaP44RqcKg2Ty6i1U
Estudio Samu,Gimnasio,Gimnasio,Argentina,Buenos Aires,Palermo,"Av. Luis María Campos 311, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",,http://www.estudiosamu.com/,,5,103,Mediano,BAJA,9,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Estudio%20Samu&query_place_id=ChIJUd1ph7C1vJUR41PNlmpztZc
Always Gym Costa Rica,Gimnasio,Gimnasio,Argentina,Buenos Aires,Palermo,"Costa Rica 4863, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 4832-3737,https://www.alwaysgym.com.ar/,,4.3,99,Mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Always%20Gym%20Costa%20Rica&query_place_id=ChIJZ89mU2S1vJURzPhQPIY2Zhw
Bicicleteria Super Ciclas,Spinning / Ciclo,Tienda de bicicletas,Colombia,Envigado,Envigado,"Cl. 39 Sur #40-09, Envigado, Antioquia",+57 317 2224442,http://www.superciclas.com/,,4.3,64,Mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Bicicleteria%20Super%20Ciclas&query_place_id=ChIJEQt1RE2CRo4ReZ_SsDUcoes
Big Training,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 35, Medellín, La América, Medellín, Antioquia",+57 315 4393556,https://www.instagram.com/bigtraining01/?hl=es-la,,4.3,59,Mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Big%20Training&query_place_id=ChIJ4S_-Jp4pRI4R8nrx1SuwGhE
Action Black Éxito Poblado,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cl 10 #43E-135, Medellín, El Poblado, Medellín, Antioquia",+57 317 3683535,https://www.actionblack.co/,,5,19,Pequeño-mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Action%20Black%20%C3%89xito%20Poblado&query_place_id=ChIJw2diX7gpRI4RpJQnYR3lsRw
Taichi en el Jardín,Otro,Centro de meditación,Colombia,Medellín,Laureles,"Jardines del Ed Sura central, Cra. 64B #49 A 30, Medellín, Laureles, Medellín, Antioquia",+57 300 6205159,https://www.instagram.com/taichieneljardin/,,5,19,Pequeño-mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Taichi%20en%20el%20Jard%C3%ADn&query_place_id=ChIJ35ruLNInRI4Ryvd5L7fDq1Y
Samaar Club de Bienestar Integral,Gimnasio,Spa y gimnasio,Colombia,Medellín,Laureles,"Cra 79 #37 37, Medellín, Laureles, Medellín, Antioquia",+57 305 2975616,https://www.instagram.com/samaarbienestar,,5,19,Pequeño-mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Samaar%20Club%20de%20Bienestar%20Integral&query_place_id=ChIJH-6JqYgpRI4RflliT2gJAng
Lumen Studio,Pilates,Centro de pilates,Argentina,Buenos Aires,Palermo,"El Salvador 4949, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 2555-0362,https://www.instagram.com/lumenstudio.ba?igsh=NjJwNDVlNGw3dmRp&utm_source=qr,,5,19,Pequeño-mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Lumen%20Studio&query_place_id=ChIJB0EvR7-1vJURRXV5kvSfKfo
In´Bike SAS,Spinning / Ciclo,Tienda de bicicletas,Colombia,Medellín,Laureles,"Cra. 52 # 55-41, Medellín, La Candelaria, Medellín, Antioquia",+57 319 7295312,http://www.inbike.com.co/,,5,18,Pequeño-mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=In%C2%B4Bike%20SAS&query_place_id=ChIJJc4YOdMpRI4RgAUhDhBA9ik
Om Kutir Yoga,Yoga,Centro de yoga,Colombia,Bogotá,Chapinero,"Cra 20 #42a-42, Bogotá, Bogotá",+57 313 2604771,http://www.omkutiryoga.com/?y_source=1_MTAzMTE2ODkyNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,5,18,Pequeño-mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Om%20Kutir%20Yoga&query_place_id=ChIJtd7UpSiaP44RXchPkjLlZvg
Pilates NUR,Pilates,Centro de pilates,Argentina,Buenos Aires,Palermo,"Amenábar 30, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 3039-8844,https://linktr.ee/pilates.nur,,5,18,Pequeño-mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Pilates%20NUR&query_place_id=ChIJdfmmWsu1vJURQ0XTyA57zbI
Oxygen Yoga & Fitness Lomas,Yoga,Centro de yoga,México,Ciudad de México,Polanco,"Avenida Prado Norte 470-101, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 3860 3286,https://oxygenyogaandfitness.com/lomas/,,5,18,Pequeño-mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Oxygen%20Yoga%20%26%20Fitness%20Lomas&query_place_id=ChIJtfGxbOoB0oURbfcwaPMk7iI
PenagosCoach centro de entrenamiento,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"mall la heróica, Calle 31, Belen #81-15, Medellín, Belén, Medellín, Antioquia",+57 317 0763430,https://www.instagram.com/penagoscoach_ce?igsh=MWZudHp0ODVwcGNmYw==,,5,17,Pequeño-mediano,MEDIA,9,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=PenagosCoach%20centro%20de%20entrenamiento&query_place_id=ChIJBVdzuTYpRI4Rip9-i7lvxJI
